year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,BGD,Bangladesh,BD,Dhaka,BD30,Rajbari,BD3082,578250,535208,1113458,44154,44625,46420,43350,47135,47096,46099,43274,39767,38073,31800,27854,22101,20096,14514,11389,10503,45744,45874,47962,45325,41602,41381,38380,36655,35125,33641,29739,26566,20925,18168,12252,8928,6941,89898,90499,94382,88675,88737,88477,84479,79929,74892,71714,61539,54420,43026,38264,26766,20317,17444
2022,BGD,Bangladesh,BD,Dhaka,BD30,Shariatpur,BD3086,631027,557145,1188172,54648,57456,61418,52816,45771,45636,45397,42828,40205,37938,36209,27757,25722,18860,16588,10520,11258,56191,59371,58634,48081,39940,35873,33975,34247,32109,29402,28596,24376,23650,18822,15542,9597,8739,110839,116827,120052,100897,85711,81509,79372,77075,72314,67340,64805,52133,49372,37682,32130,20117,19997
2022,BGD,Bangladesh,BD,Dhaka,BD30,Tangail,BD3093,2012080,1792283,3804363,145668,149676,144724,132189,163794,167335,166209,162151,150711,139373,116764,98276,80066,68918,52216,38153,35857,148836,154453,157468,141746,137850,131321,126270,126844,120699,118522,105525,92626,72705,58549,43546,29556,25767,294504,304129,302192,273935,301644,298656,292479,288995,271410,257895,222289,190902,152771,127467,95762,67709,61624
2022,BGD,Bangladesh,BD,Khulna,BD40,Bagerhat,BD4001,686632,651464,1338096,47296,50172,56306,50270,50777,53561,56096,53829,48606,47898,39605,35708,28278,25434,17689,13943,11164,48878,51635,58188,51866,48086,46611,47742,47243,45689,44695,36005,34448,27015,24902,16694,12950,8817,96174,101807,114494,102136,98863,100172,103838,101072,94295,92593,75610,70156,55293,50336,34383,26893,19981
2022,BGD,Bangladesh,BD,Khulna,BD40,Chuadanga,BD4018,625762,590617,1216379,42495,43117,47748,45625,51569,55607,56424,53138,46722,42461,34021,29078,23016,20436,14718,10600,8987,44311,43544,50963,49911,47714,50244,49568,47057,44103,39984,33804,27318,20404,15845,12437,7713,5697,86806,86661,98711,95536,99283,105851,105992,100195,90825,82445,67825,56396,43420,36281,27155,18313,14684
2022,BGD,Bangladesh,BD,Khulna,BD40,Jessore,BD4041,1521561,1450656,2972217,103933,103955,116992,119491,130204,130992,130159,126586,109276,106877,81986,73792,54016,50514,34352,26474,21962,107852,106830,122346,125130,124275,119669,112208,111392,102492,100739,81572,70999,52065,44560,30784,21762,15981,211785,210785,239338,244621,254479,250661,242367,237978,211768,207616,163558,144791,106081,95074,65136,48236,37943
2022,BGD,Bangladesh,BD,Khulna,BD40,Jhenaidah,BD4044,981736,928616,1910352,68090,69896,76054,70799,80673,85056,85524,80272,71113,66645,54708,46931,36843,33008,23312,17106,15706,69651,70851,79327,78416,76652,77111,74673,69648,66089,61963,52874,43670,34862,28595,20266,13507,10461,137741,140747,155381,149215,157325,162167,160197,149920,137202,128608,107582,90601,71705,61603,43578,30613,26167
2022,BGD,Bangladesh,BD,Khulna,BD40,Khulna,BD4047,1107861,1073909,2181770,72599,74374,84114,87522,96111,93685,94462,88614,80109,78925,60650,55941,39492,39184,25137,21677,15265,75550,76724,89588,92552,97680,87423,85345,80595,74559,73966,58004,56102,38816,35519,22242,17703,11541,148149,151098,173702,180074,193791,181108,179807,169209,154668,152891,118654,112043,78308,74703,47379,39380,26806
2022,BGD,Bangladesh,BD,Khulna,BD40,Kushtia,BD4050,1080815,1018476,2099291,75339,77087,80948,76340,89009,94058,94009,86750,80732,75113,62988,51951,42129,34430,26140,17960,15832,77873,78420,85315,85803,84636,84808,83706,76103,72882,65565,59870,48866,40026,28808,21892,13145,10758,153212,155507,166263,162143,173645,178866,177715,162853,153614,140678,122858,100817,82155,63238,48032,31105,26590
2022,BGD,Bangladesh,BD,Khulna,BD40,Magura,BD4055,512689,470740,983429,38205,39822,41677,36231,39260,41580,41966,39151,36464,34969,29367,25214,19149,18149,12373,10523,8589,39814,41513,44410,39255,34896,34873,34430,32949,31673,30803,26208,23534,18080,15688,9758,7664,5192,78019,81335,86087,75486,74156,76453,76396,72100,68137,65772,55575,48748,37229,33837,22131,18187,13781
